lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume
sub-02	1752.0	1090.0	6881.0	3757.0	1586.0	8520.0	9026.0	9714.0	2661.0	9812.0	7507.0	6387.0	4601.0	11221.0	1813.0	4053.0	5173.0	1699.0	4198.0	2407.0	9177.0	2654.0	14172.0	11260.0	2165.0	12602.0	23137.0	13941.0	12354.0	10940.0	1110.0	2360.0	1223.0	6926.0
sub-03	2414.0	1675.0	6418.0	3302.0	1980.0	9779.0	12353.0	11438.0	2599.0	10778.0	7273.0	6408.0	4402.0	10884.0	2180.0	4064.0	5031.0	1778.0	3757.0	1865.0	9204.0	2961.0	13454.0	9560.0	2222.0	13194.0	20706.0	12289.0	11036.0	9003.0	1009.0	2089.0	1127.0	6956.0
sub-04	2168.0	1939.0	5666.0	2363.0	1601.0	7932.0	11131.0	7500.0	2508.0	10547.0	7188.0	5232.0	3854.0	8867.0	2290.0	3119.0	4633.0	1911.0	3342.0	1567.0	11235.0	3072.0	12224.0	9745.0	2342.0	12429.0	18404.0	10746.0	13009.0	10315.0	719.0	2433.0	1342.0	6338.0
sub-05	1964.0	1415.0	5235.0	3588.0	1797.0	8147.0	11062.0	7661.0	2697.0	10437.0	6462.0	6840.0	4207.0	9811.0	1743.0	3339.0	4366.0	1792.0	2871.0	2433.0	8222.0	2896.0	12923.0	8868.0	2044.0	12961.0	21065.0	11452.0	10416.0	9393.0	955.0	2518.0	1091.0	6188.0
sub-06	2353.0	1737.0	6208.0	3238.0	1358.0	9107.0	9884.0	9273.0	2832.0	10480.0	8054.0	6424.0	4952.0	10419.0	1952.0	3605.0	5690.0	2272.0	3641.0	2457.0	10421.0	2847.0	15076.0	9307.0	2563.0	13985.0	23325.0	13470.0	12943.0	11960.0	955.0	2352.0	1620.0	7562.0
sub-07	2324.0	1887.0	6949.0	2771.0	1684.0	9073.0	13288.0	10984.0	2221.0	11972.0	7644.0	6569.0	4730.0	9077.0	1859.0	4167.0	3544.0	2412.0	3498.0	1502.0	8286.0	2985.0	13549.0	9860.0	2270.0	13559.0	21762.0	13710.0	12113.0	9739.0	730.0	2672.0	1278.0	7511.0
sub-08	1909.0	1937.0	5823.0	3009.0	1929.0	9833.0	9495.0	9946.0	3088.0	10188.0	7921.0	6186.0	5011.0	9037.0	2243.0	3642.0	4648.0	2803.0	4306.0	1999.0	9192.0	3250.0	12803.0	9808.0	1907.0	12679.0	22402.0	11715.0	11416.0	13517.0	1349.0	2653.0	1333.0	8372.0
sub-09	2434.0	2054.0	5367.0	2739.0	2129.0	9987.0	10886.0	10703.0	2396.0	11352.0	8038.0	6343.0	5007.0	11264.0	2165.0	3973.0	4322.0	2627.0	3801.0	1721.0	8988.0	3371.0	13684.0	8317.0	2537.0	13570.0	22313.0	13222.0	12610.0	13323.0	928.0	2728.0	1050.0	7893.0
sub-10	3000.0	2676.0	5640.0	3242.0	2781.0	11182.0	13924.0	14958.0	2997.0	13716.0	9232.0	6713.0	6763.0	13110.0	2672.0	3765.0	5247.0	3206.0	4937.0	2073.0	10421.0	3343.0	13645.0	11065.0	3590.0	20677.0	25314.0	15301.0	14895.0	14726.0	1019.0	2886.0	1431.0	7399.0
sub-11	2507.0	1176.0	6533.0	3268.0	1422.0	10012.0	12872.0	11286.0	3151.0	14332.0	8709.0	7910.0	5081.0	13361.0	1912.0	3873.0	5286.0	2711.0	4145.0	2630.0	11782.0	2864.0	14596.0	11493.0	2391.0	15849.0	24051.0	12552.0	11868.0	9900.0	1056.0	2764.0	1209.0	7471.0
