rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
sub-02	686.0	856.0	726.0	1041.0	608.0	1830.0	765.0	866.0	297.0	162.0	1646.0	1330.0	295.0	780.0	2432.0	3977.0	347.0	430.0	1607.0	984.0	1427.0	1914.0	549.0	1713.0	1695.0	1778.0	1843.0	1212.0	1288.0	1669.0	559.0	270.0	372.0	1255.0	548.0	590.0	1410.0	1790.0	235.0	167.0	1010.0	2306.0	1160.0	1601.0	1834.0	875.0	325.0	770.0	866.0	465.0	341.0	1611.0	1628.0	2180.0	290.0	2388.0	598.0	625.0	605.0	542.0	1592.0	250.0	476.0	862.0	1811.0	832.0	1457.0	1131.0	626.0	176.0	776.0	871.0	3867.0	202.0	80897.0
sub-03	671.0	991.0	847.0	1043.0	949.0	1741.0	1003.0	1100.0	394.0	220.0	1705.0	972.0	342.0	624.0	2827.0	4569.0	413.0	504.0	1376.0	1356.0	1389.0	2283.0	734.0	1652.0	2340.0	1458.0	1780.0	1342.0	1648.0	1809.0	538.0	266.0	271.0	1167.0	600.0	493.0	1451.0	2168.0	260.0	124.0	921.0	2293.0	1328.0	1678.0	1913.0	898.0	282.0	667.0	942.0	547.0	290.0	1186.0	1452.0	1649.0	442.0	2505.0	480.0	1267.0	700.0	659.0	1404.0	355.0	566.0	788.0	1709.0	1236.0	1857.0	1143.0	872.0	247.0	852.0	964.0	3940.0	200.0	85653.5
sub-04	632.0	761.0	792.0	892.0	739.0	1943.0	849.0	862.0	385.0	164.0	1276.0	838.0	213.0	592.0	2573.0	3882.0	311.0	318.0	1238.0	804.0	1225.0	2051.0	804.0	1855.0	1973.0	1583.0	2202.0	1165.0	1243.0	2268.0	506.0	289.0	318.0	1179.0	559.0	594.0	1477.0	1802.0	253.0	140.0	950.0	1938.0	1207.0	1341.0	1800.0	696.0	359.0	689.0	832.0	670.0	265.0	1247.0	1522.0	2414.0	148.0	2396.0	556.0	736.0	415.0	530.0	1172.0	244.0	460.0	832.0	1527.0	808.0	1720.0	867.0	780.0	228.0	951.0	793.0	3759.0	241.0	78646.0
sub-05	577.0	758.0	1071.0	997.0	779.0	1733.0	1061.0	1105.0	229.0	175.0	1562.0	1002.0	280.0	567.0	2351.0	3987.0	268.0	287.0	1577.0	987.0	1089.0	2164.0	581.0	1625.0	1974.0	1374.0	1515.0	1160.0	1651.0	1524.0	541.0	226.0	274.0	1098.0	503.0	486.0	1546.0	1826.0	228.0	79.0	945.0	2857.0	1318.0	1592.0	1768.0	755.0	322.0	664.0	702.0	541.0	156.0	1190.0	1514.0	1635.0	286.0	1828.0	845.0	700.0	484.0	365.0	1151.0	292.0	496.0	637.0	1688.0	831.0	1672.0	1055.0	802.0	242.0	528.0	856.0	3715.0	172.0	77421.3
sub-06	758.0	903.0	809.0	1121.0	835.0	2098.0	925.0	899.0	403.0	286.0	1726.0	1118.0	204.0	962.0	2939.0	4330.0	378.0	565.0	1626.0	1091.0	1473.0	2222.0	687.0	2290.0	1715.0	1935.0	1697.0	1500.0	1549.0	1758.0	662.0	412.0	343.0	1338.0	669.0	533.0	1902.0	2304.0	309.0	139.0	1044.0	2406.0	1505.0	2153.0	1933.0	929.0	435.0	739.0	872.0	705.0	373.0	1613.0	1781.0	1617.0	369.0	2143.0	944.0	997.0	579.0	613.0	1276.0	326.0	521.0	996.0	1917.0	1171.0	1826.0	1100.0	834.0	414.0	909.0	727.0	3760.0	213.0	89155.9
sub-07	599.0	808.0	977.0	1246.0	654.0	1977.0	977.0	1080.0	352.0	155.0	1521.0	842.0	214.0	476.0	2670.0	4811.0	410.0	459.0	1434.0	1329.0	1326.0	1785.0	730.0	1769.0	2155.0	1608.0	1883.0	1436.0	1982.0	1766.0	611.0	364.0	225.0	1128.0	630.0	544.0	1683.0	1850.0	261.0	142.0	993.0	2155.0	1532.0	1346.0	2008.0	763.0	451.0	888.0	932.0	768.0	358.0	1207.0	1211.0	1710.0	216.0	2288.0	366.0	1073.0	451.0	542.0	1305.0	332.0	491.0	781.0	1488.0	874.0	1506.0	944.0	1326.0	158.0	838.0	861.0	4272.0	145.0	83450.5
sub-08	686.0	902.0	845.0	992.0	983.0	2131.0	951.0	950.0	380.0	233.0	1935.0	778.0	366.0	712.0	2490.0	4385.0	416.0	446.0	1295.0	1097.0	1565.0	2427.0	841.0	1805.0	1843.0	1919.0	1706.0	1558.0	1819.0	1798.0	548.0	372.0	289.0	1341.0	741.0	731.0	1367.0	1640.0	348.0	249.0	1153.0	2805.0	1354.0	1958.0	2129.0	838.0	499.0	694.0	1062.0	734.0	270.0	1158.0	1238.0	2023.0	245.0	1829.0	579.0	978.0	491.0	780.0	1270.0	368.0	502.0	691.0	1611.0	923.0	1838.0	937.0	1051.0	307.0	782.0	644.0	3929.0	224.0	85773.0
sub-09	738.0	663.0	933.0	1078.0	990.0	2056.0	854.0	915.0	296.0	168.0	1252.0	1024.0	322.0	874.0	2375.0	4516.0	376.0	484.0	1306.0	1014.0	1542.0	1820.0	998.0	1753.0	2532.0	1991.0	1773.0	1549.0	1456.0	1555.0	673.0	435.0	244.0	1324.0	554.0	589.0	1772.0	2190.0	292.0	175.0	936.0	2019.0	1501.0	1278.0	2031.0	736.0	405.0	754.0	1028.0	1000.0	268.0	1411.0	1333.0	1636.0	306.0	2805.0	506.0	661.0	412.0	906.0	1467.0	253.0	496.0	794.0	1535.0	913.0	2077.0	1107.0	773.0	281.0	580.0	1085.0	4887.0	210.0	85840.0
sub-10	942.0	1062.0	1276.0	1455.0	1197.0	3003.0	1404.0	1271.0	353.0	186.0	2218.0	1169.0	318.0	566.0	3197.0	6901.0	441.0	550.0	1927.0	1585.0	1951.0	2468.0	1181.0	2262.0	3279.0	1231.0	1499.0	935.0	2244.0	1726.0	670.0	441.0	380.0	1647.0	864.0	663.0	2443.0	2744.0	327.0	161.0	935.0	3272.0	1743.0	2163.0	1604.0	916.0	468.0	859.0	1074.0	1116.0	360.0	1516.0	2308.0	3604.0	161.0	2334.0	916.0	1333.0	526.0	1213.0	1849.0	360.0	766.0	1150.0	2248.0	1063.0	1474.0	1585.0	1323.0	321.0	671.0	1144.0	5895.0	285.0	108696.0
sub-11	804.0	906.0	1048.0	1219.0	765.0	2117.0	849.0	971.0	353.0	251.0	2049.0	1055.0	315.0	881.0	2522.0	4957.0	318.0	434.0	1572.0	1264.0	1378.0	2422.0	727.0	1929.0	1873.0	1484.0	2103.0	1477.0	1554.0	2199.0	546.0	329.0	244.0	1265.0	660.0	612.0	1912.0	2409.0	223.0	203.0	1004.0	2887.0	1435.0	2051.0	2043.0	781.0	470.0	677.0	1046.0	686.0	368.0	1169.0	1411.0	2063.0	141.0	2074.0	761.0	1056.0	586.0	657.0	1289.0	406.0	454.0	932.0	1799.0	1000.0	1662.0	1255.0	851.0	272.0	850.0	1088.0	4517.0	176.0	90113.4
