lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
sub-02	761.0	401.0	2295.0	2023.0	320.0	2926.0	3319.0	3192.0	943.0	4347.0	2433.0	3145.0	1653.0	3087.0	680.0	1296.0	1666.0	564.0	1337.0	1730.0	3848.0	996.0	4603.0	4110.0	741.0	4931.0	7011.0	5273.0	3866.0	3723.0	291.0	495.0	452.0	2005.0	80462.3
sub-03	925.0	595.0	2289.0	1832.0	391.0	3210.0	4581.0	3638.0	937.0	5268.0	2560.0	3131.0	1733.0	3274.0	726.0	1456.0	1831.0	567.0	1399.0	1440.0	4157.0	1079.0	4555.0	3718.0	691.0	5656.0	7242.0	5236.0	3418.0	3337.0	309.0	480.0	448.0	2325.0	84435.2
sub-04	823.0	700.0	2131.0	1346.0	396.0	2629.0	4139.0	2488.0	957.0	4877.0	2462.0	2778.0	1572.0	2651.0	697.0	1221.0	1556.0	634.0	1333.0	1223.0	4609.0	1170.0	4378.0	3638.0	797.0	5335.0	6664.0	4655.0	3963.0	3553.0	231.0	539.0	479.0	1902.0	78524.7
sub-05	810.0	461.0	2046.0	1684.0	406.0	2690.0	4074.0	2815.0	978.0	4861.0	2098.0	3377.0	1525.0	2706.0	537.0	1200.0	1544.0	603.0	1176.0	1590.0	3822.0	1059.0	4713.0	3515.0	678.0	5176.0	7054.0	5074.0	3364.0	3548.0	317.0	492.0	447.0	1921.0	78358.3
sub-06	1049.0	605.0	2280.0	1687.0	336.0	3010.0	3886.0	3152.0	1114.0	5009.0	2797.0	3297.0	1868.0	3325.0	695.0	1337.0	1940.0	790.0	1473.0	1703.0	4713.0	1068.0	5109.0	3778.0	776.0	5903.0	8028.0	5999.0	4281.0	4509.0	303.0	550.0	495.0	2524.0	89385.9
sub-07	1053.0	591.0	2463.0	1618.0	468.0	3168.0	4976.0	3420.0	720.0	5319.0	2614.0	3358.0	1844.0	2977.0	581.0	1562.0	1271.0	708.0	1293.0	1241.0	3669.0	1007.0	5061.0	3566.0	710.0	5769.0	6913.0	5659.0	3721.0	3521.0	273.0	618.0	446.0	2407.0	84584.9
sub-08	787.0	678.0	2048.0	1672.0	524.0	3373.0	3812.0	3130.0	1276.0	5253.0	2731.0	3266.0	2030.0	2752.0	656.0	1242.0	1699.0	744.0	1653.0	1519.0	4185.0	1225.0	4475.0	3765.0	656.0	5375.0	7617.0	5182.0	3957.0	5144.0	380.0	561.0	534.0	2422.0	86319.6
sub-09	1056.0	686.0	1899.0	1451.0	558.0	3576.0	4050.0	3584.0	913.0	5232.0	2443.0	2988.0	1834.0	3222.0	656.0	1330.0	1466.0	741.0	1330.0	1166.0	4164.0	1264.0	4705.0	3274.0	884.0	5145.0	7385.0	5375.0	4135.0	4752.0	375.0	602.0	487.0	2384.0	85114.3
sub-10	1250.0	1006.0	2037.0	2122.0	720.0	3990.0	5794.0	4782.0	1235.0	6901.0	3314.0	3462.0	2603.0	4268.0	891.0	1467.0	1682.0	972.0	1739.0	1663.0	4841.0	1396.0	4681.0	4613.0	1283.0	7905.0	8636.0	6568.0	4996.0	5698.0	367.0	619.0	596.0	2414.0	106514.0
sub-11	1053.0	479.0	2262.0	1725.0	330.0	3222.0	4610.0	3644.0	1120.0	6340.0	2771.0	3822.0	1848.0	3633.0	581.0	1538.0	1767.0	820.0	1560.0	1791.0	4788.0	1039.0	4862.0	4307.0	692.0	5899.0	7877.0	5506.0	3729.0	3593.0	274.0	580.0	413.0	2248.0	90725.0
