lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume
sub-02	1979.0	2746.0	3471.0	2946.0	1741.0	4431.0	1788.0	1994.0	1461.0	752.0	3468.0	3771.0	775.0	2981.0	8093.0	17575.0	1373.0	2301.0	3195.0	2518.0	4155.0	4781.0	2585.0	6056.0	5253.0	6399.0	6814.0	3872.0	6784.0	6915.0	2162.0	710.0	1001.0	5594.0	2115.0	1996.0	6432.0	7706.0	444.0	571.0	1811.0	2470.0	4947.0	2878.0	3902.0	1681.0	778.0	2420.0	2411.0	1325.0	652.0	2837.0	3125.0	4676.0	158.0	3740.0	970.0	1513.0	927.0	1096.0	3378.0	648.0	851.0	2069.0	3724.0	936.0	3476.0	2413.0	2111.0	1020.0	1476.0	2243.0	7044.0	469.0
sub-03	2012.0	2979.0	2669.0	3050.0	1380.0	4011.0	2272.0	2157.0	1534.0	778.0	3044.0	3375.0	880.0	2935.0	8474.0	16499.0	1413.0	2292.0	4813.0	2512.0	4403.0	4643.0	3093.0	5064.0	5439.0	5546.0	4608.0	3787.0	5916.0	5595.0	1690.0	687.0	1072.0	4852.0	1778.0	1572.0	7105.0	7770.0	383.0	465.0	1321.0	2359.0	5048.0	2561.0	3417.0	1740.0	861.0	2592.0	2489.0	1579.0	490.0	4110.0	1651.0	4336.0	565.0	4107.0	919.0	2144.0	1123.0	1736.0	3310.0	588.0	906.0	2290.0	3243.0	1247.0	4194.0	2816.0	2466.0	1163.0	1369.0	2247.0	9146.0	511.0
sub-04	1445.0	2732.0	2718.0	3545.0	1193.0	3768.0	2456.0	2391.0	1389.0	471.0	2103.0	3402.0	875.0	2491.0	9028.0	13701.0	1438.0	2105.0	4628.0	2138.0	3607.0	3606.0	3135.0	5596.0	5117.0	5950.0	4514.0	4888.0	5304.0	6009.0	1727.0	833.0	1296.0	5886.0	2135.0	1715.0	4711.0	5975.0	403.0	494.0	1379.0	2396.0	4646.0	2381.0	3736.0	1257.0	711.0	2280.0	2259.0	1385.0	757.0	2905.0	1350.0	4862.0	609.0	3919.0	1172.0	1542.0	916.0	1322.0	2938.0	443.0	785.0	2119.0	2549.0	1250.0	4064.0	2209.0	1859.0	709.0	1764.0	1488.0	8280.0	550.0
sub-05	1713.0	2170.0	2547.0	3304.0	1304.0	4115.0	2194.0	2112.0	1664.0	853.0	3296.0	2861.0	1004.0	1862.0	8480.0	16782.0	1263.0	1912.0	4454.0	2419.0	3664.0	5137.0	3198.0	5074.0	4609.0	6325.0	4778.0	3188.0	5687.0	5334.0	1851.0	973.0	876.0	4891.0	1538.0	1490.0	4118.0	6578.0	433.0	356.0	1259.0	2680.0	5190.0	3510.0	3156.0	1197.0	659.0	2153.0	2103.0	1525.0	590.0	2774.0	2096.0	3904.0	483.0	3794.0	1087.0	1941.0	753.0	943.0	2825.0	809.0	866.0	1553.0	2702.0	1141.0	3427.0	3494.0	1532.0	747.0	1256.0	2157.0	7629.0	520.0
sub-06	2087.0	2657.0	2690.0	4171.0	1721.0	4650.0	2598.0	2456.0	1559.0	727.0	2860.0	3475.0	1090.0	2998.0	8715.0	17661.0	1622.0	2279.0	4365.0	2334.0	4306.0	4770.0	2655.0	5875.0	4423.0	7689.0	5441.0	4046.0	6020.0	5082.0	1644.0	1116.0	1210.0	5381.0	2022.0	2076.0	4933.0	7147.0	491.0	411.0	1785.0	2369.0	5449.0	3295.0	4082.0	1470.0	916.0	2144.0	2962.0	1584.0	409.0	3828.0	1870.0	5936.0	347.0	4109.0	1318.0	2448.0	824.0	1095.0	3203.0	610.0	808.0	2574.0	3647.0	1168.0	4417.0	3325.0	2221.0	1044.0	1355.0	2056.0	9432.0	768.0
sub-07	1570.0	2832.0	3026.0	3385.0	1458.0	4421.0	2299.0	2343.0	1344.0	653.0	2617.0	2667.0	1184.0	2123.0	10879.0	17221.0	1489.0	2676.0	4974.0	2751.0	4164.0	4879.0	3779.0	5702.0	6046.0	5539.0	6202.0	3215.0	5908.0	6176.0	1471.0	1393.0	1097.0	6204.0	1614.0	1526.0	6984.0	6479.0	431.0	388.0	1319.0	3178.0	5018.0	1956.0	3324.0	1814.0	959.0	2619.0	2728.0	1513.0	615.0	2328.0	1769.0	4555.0	296.0	4531.0	1065.0	1477.0	1209.0	1668.0	2874.0	502.0	950.0	2568.0	2890.0	1180.0	3195.0	2106.0	2673.0	1125.0	1323.0	2265.0	8875.0	604.0
sub-08	2393.0	2763.0	2789.0	3076.0	2291.0	3406.0	2570.0	2377.0	1751.0	812.0	2697.0	3373.0	1176.0	3396.0	7936.0	17069.0	1788.0	2835.0	3969.0	2309.0	4860.0	4517.0	3980.0	6211.0	5609.0	7946.0	5231.0	3605.0	5572.0	5763.0	1632.0	1544.0	1072.0	5192.0	1980.0	1931.0	5963.0	6172.0	423.0	704.0	1684.0	2483.0	5021.0	2769.0	3645.0	1382.0	996.0	2180.0	3098.0	1906.0	665.0	3673.0	1720.0	4207.0	783.0	3600.0	1207.0	1476.0	668.0	1326.0	2735.0	449.0	1057.0	2163.0	3538.0	1278.0	3974.0	1822.0	2291.0	1678.0	1347.0	1833.0	7444.0	570.0
sub-09	1997.0	3109.0	3268.0	3298.0	1665.0	4461.0	2698.0	2586.0	1377.0	567.0	2391.0	3471.0	1321.0	2241.0	8529.0	17141.0	1553.0	2828.0	3899.0	2194.0	4190.0	4546.0	4253.0	6767.0	5910.0	7970.0	5801.0	3627.0	6086.0	4985.0	2164.0	1000.0	858.0	5709.0	2307.0	2028.0	5906.0	7529.0	496.0	431.0	1488.0	2414.0	5576.0	2548.0	3688.0	1454.0	1115.0	2355.0	2597.0	2192.0	649.0	2807.0	1576.0	5166.0	343.0	4646.0	1065.0	1542.0	1277.0	1248.0	3512.0	691.0	1008.0	2084.0	3272.0	1441.0	4479.0	2190.0	2071.0	1109.0	960.0	2853.0	8733.0	536.0
sub-10	2922.0	3112.0	2977.0	2961.0	2003.0	6207.0	3362.0	2895.0	1702.0	530.0	3059.0	3312.0	1490.0	3771.0	11827.0	19138.0	1581.0	2496.0	5397.0	3269.0	4789.0	4538.0	5323.0	7167.0	6779.0	7902.0	6538.0	4443.0	6458.0	6422.0	2410.0	1736.0	1351.0	6975.0	1642.0	2469.0	9053.0	8993.0	727.0	382.0	1644.0	3329.0	5783.0	3068.0	3736.0	1315.0	944.0	3104.0	2514.0	2605.0	754.0	4320.0	3602.0	5111.0	659.0	4860.0	1642.0	2302.0	1039.0	1966.0	3986.0	814.0	1169.0	3135.0	4082.0	1522.0	5162.0	2409.0	2192.0	1117.0	1675.0	2974.0	12100.0	807.0
sub-11	2395.0	3595.0	3197.0	3974.0	1790.0	4791.0	2173.0	2411.0	1582.0	831.0	3092.0	3491.0	1161.0	3096.0	11443.0	17308.0	1451.0	2455.0	5743.0	2435.0	4949.0	5535.0	3150.0	6935.0	5851.0	6115.0	5492.0	5160.0	6757.0	6970.0	2085.0	795.0	954.0	5758.0	2246.0	1819.0	7071.0	8627.0	501.0	692.0	1575.0	3119.0	5642.0	3650.0	3702.0	2050.0	1187.0	2105.0	3090.0	1675.0	731.0	3174.0	2022.0	4427.0	219.0	3542.0	1599.0	2169.0	1166.0	1801.0	3337.0	525.0	881.0	2484.0	3258.0	1094.0	3949.0	3679.0	1493.0	1818.0	1787.0	2759.0	9991.0	448.0
