rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
sub-02	1660.0	2064.0	6579.0	3427.0	1903.0	8626.0	14177.0	7989.0	1981.0	11055.0	7163.0	6066.0	5593.0	11378.0	1819.0	3929.0	4971.0	2482.0	4790.0	2367.0	8917.0	3122.0	12262.0	10466.0	1236.0	14333.0	20472.0	14253.0	12432.0	10531.0	1264.0	2328.0	956.0	7049.0
sub-03	2757.0	2764.0	5259.0	3025.0	2294.0	8453.0	15859.0	9912.0	2438.0	11366.0	6517.0	6673.0	5248.0	12011.0	1964.0	4243.0	3311.0	2430.0	3654.0	2165.0	9517.0	3745.0	13280.0	9998.0	2127.0	13422.0	18702.0	13500.0	11340.0	8785.0	1120.0	2302.0	929.0	7014.0
sub-04	2144.0	1369.0	4923.0	2549.0	1676.0	7927.0	12542.0	8125.0	2228.0	8966.0	6722.0	5510.0	5062.0	9409.0	2256.0	3347.0	3613.0	2418.0	3721.0	1752.0	7763.0	2940.0	10697.0	11200.0	1071.0	13978.0	19129.0	13000.0	11858.0	10000.0	797.0	2499.0	1055.0	6259.0
sub-05	1969.0	2592.0	4996.0	3309.0	1867.0	7259.0	13143.0	8073.0	2027.0	11639.0	5903.0	6637.0	5109.0	10255.0	1552.0	4410.0	3056.0	2690.0	3341.0	2436.0	8080.0	2980.0	12330.0	9428.0	1690.0	13171.0	18287.0	10918.0	10129.0	8303.0	1422.0	2943.0	821.0	5558.0
sub-06	2250.0	2606.0	5212.0	3491.0	1643.0	9045.0	11898.0	9092.0	2948.0	12243.0	7588.0	6736.0	5993.0	12290.0	1593.0	3964.0	3897.0	2711.0	4752.0	2429.0	9500.0	3263.0	12719.0	10935.0	1907.0	15008.0	18487.0	13049.0	11703.0	10372.0	1161.0	2520.0	1144.0	7357.0
sub-07	2296.0	1640.0	5728.0	2646.0	1612.0	9328.0	15220.0	10130.0	2336.0	10491.0	6905.0	5579.0	5468.0	10789.0	1542.0	4205.0	3249.0	2523.0	3332.0	1595.0	9575.0	3224.0	14628.0	10227.0	1992.0	11684.0	20485.0	13545.0	11764.0	10100.0	1183.0	2920.0	1089.0	6886.0
sub-08	1943.0	1535.0	5354.0	3924.0	1876.0	9859.0	11625.0	7750.0	2682.0	10969.0	7241.0	6891.0	5720.0	9829.0	2084.0	3688.0	2806.0	2913.0	5185.0	2439.0	9840.0	3038.0	13749.0	10409.0	1108.0	13231.0	20942.0	11612.0	13020.0	10719.0	1303.0	2548.0	993.0	7946.0
sub-09	2137.0	1563.0	5449.0	2354.0	2234.0	10979.0	16813.0	10471.0	2229.0	9111.0	7860.0	5356.0	5864.0	11852.0	1954.0	3676.0	3998.0	2690.0	4773.0	1629.0	9211.0	3002.0	13338.0	9054.0	1841.0	13579.0	20100.0	12850.0	11464.0	10915.0	1321.0	2718.0	823.0	7410.0
sub-10	2862.0	1780.0	7978.0	3888.0	2669.0	12868.0	20747.0	13715.0	2281.0	14151.0	8719.0	6682.0	6681.0	13232.0	2051.0	5249.0	4380.0	2957.0	3710.0	2291.0	8762.0	3064.0	12863.0	10495.0	2494.0	18272.0	32780.0	11641.0	13678.0	8108.0	1359.0	3266.0	1052.0	6824.0
sub-11	2376.0	2081.0	5639.0	4623.0	1734.0	9868.0	14383.0	10203.0	2888.0	13601.0	7566.0	8122.0	5773.0	15199.0	1861.0	3774.0	3938.0	3025.0	5570.0	3037.0	10470.0	3129.0	13881.0	12130.0	1896.0	14697.0	23033.0	14276.0	12312.0	9219.0	1525.0	2593.0	1091.0	7266.0
sub-12	2088.0	1690.0	3778.0	2831.0	2070.0	8726.0	13360.0	10259.0	1896.0	11040.0	6461.0	5018.0	5160.0	9197.0	1610.0	4170.0	3231.0	2886.0	3541.0	1858.0	7369.0	2446.0	13602.0	8178.0	1293.0	12363.0	20065.0	12219.0	9906.0	9814.0	1393.0	2747.0	665.0	6606.0
sub-13	1628.0	2183.0	4422.0	3160.0	1591.0	7949.0	14760.0	9802.0	2211.0	9724.0	6026.0	5346.0	4839.0	12111.0	1703.0	3909.0	3460.0	2369.0	4183.0	2131.0	7997.0	3315.0	11428.0	9865.0	1797.0	9981.0	18684.0	12751.0	11390.0	8556.0	1083.0	2198.0	707.0	6844.0
sub-14	1564.0	1507.0	5191.0	3684.0	2035.0	10058.0	14115.0	11931.0	2559.0	13286.0	7482.0	7289.0	5748.0	12172.0	2006.0	3016.0	3583.0	2615.0	5155.0	2136.0	9730.0	3497.0	11547.0	10649.0	1487.0	16081.0	21774.0	11834.0	14154.0	9880.0	1117.0	3219.0	1227.0	7417.0
sub-15	2113.0	1588.0	7496.0	3396.0	1812.0	8083.0	11415.0	9439.0	1899.0	14140.0	6099.0	6442.0	5377.0	10257.0	1565.0	3421.0	3699.0	2349.0	3870.0	2060.0	8189.0	2648.0	11248.0	7328.0	837.0	14342.0	22950.0	7691.0	9587.0	5891.0	1532.0	2493.0	806.0	6098.0
sub-16	2872.0	2577.0	6950.0	3715.0	1838.0	12047.0	18550.0	12849.0	3122.0	15060.0	8658.0	8615.0	5863.0	16661.0	1912.0	4275.0	6617.0	2930.0	6272.0	2689.0	9886.0	4323.0	14917.0	13592.0	1801.0	19833.0	26448.0	16617.0	13549.0	11594.0	1206.0	2220.0	1228.0	8627.0
sub-17	2442.0	1970.0	5196.0	2868.0	1617.0	7007.0	13313.0	9315.0	2017.0	10120.0	6689.0	5190.0	4584.0	13075.0	2136.0	4611.0	4117.0	1988.0	4462.0	1901.0	9857.0	3035.0	12481.0	9057.0	1714.0	13077.0	17957.0	11351.0	12016.0	9316.0	850.0	2336.0	1034.0	6789.0
sub-18	2304.0	1552.0	5195.0	3686.0	1683.0	8946.0	14192.0	9561.0	2356.0	11840.0	7091.0	7539.0	5423.0	10669.0	2021.0	4341.0	3265.0	3370.0	4359.0	2646.0	7748.0	2998.0	12280.0	8770.0	1798.0	12473.0	20122.0	11705.0	11441.0	8972.0	1487.0	2387.0	869.0	5982.0
sub-19	2771.0	1486.0	7224.0	3500.0	1742.0	10400.0	14100.0	12324.0	2577.0	14933.0	7115.0	7486.0	5935.0	12943.0	1791.0	4835.0	3707.0	2520.0	5015.0	2419.0	11133.0	3226.0	13634.0	11405.0	1488.0	16409.0	24097.0	15668.0	13702.0	10507.0	1402.0	2821.0	1175.0	8431.0
sub-21	2558.0	2983.0	4621.0	2786.0	2137.0	10885.0	17092.0	11755.0	2139.0	10609.0	6895.0	8053.0	5887.0	12411.0	2030.0	4175.0	2655.0	2630.0	3561.0	2047.0	8612.0	2760.0	12540.0	8934.0	2478.0	16099.0	19866.0	11884.0	12586.0	11392.0	1502.0	2528.0	826.0	7562.0
sub-22	1897.0	2057.0	4353.0	3340.0	1840.0	7943.0	11248.0	8600.0	2397.0	12576.0	6742.0	6050.0	4349.0	11445.0	1352.0	3477.0	3367.0	2040.0	4012.0	2280.0	8764.0	2912.0	12409.0	10394.0	1799.0	10727.0	19178.0	12700.0	10219.0	9520.0	1398.0	2684.0	937.0	7008.0
sub-23	1751.0	1198.0	5982.0	3183.0	1764.0	8675.0	13005.0	8575.0	2137.0	11915.0	6309.0	5384.0	4767.0	9854.0	1786.0	3640.0	3816.0	2317.0	3587.0	1937.0	6817.0	2364.0	11538.0	8649.0	1497.0	12939.0	21505.0	14226.0	9764.0	10237.0	1151.0	2756.0	874.0	6732.0
sub-24	2251.0	1907.0	4535.0	3043.0	2025.0	7585.0	13344.0	9724.0	2110.0	13036.0	6710.0	7535.0	4261.0	10421.0	1279.0	4117.0	3537.0	2399.0	3672.0	2135.0	8362.0	2386.0	14301.0	8498.0	1463.0	12411.0	19926.0	12679.0	10048.0	8201.0	1192.0	2372.0	761.0	5817.0
sub-25	1334.0	2676.0	5595.0	3019.0	1532.0	8107.0	12000.0	10885.0	2393.0	12749.0	6351.0	5329.0	4439.0	9744.0	1542.0	4158.0	4289.0	2496.0	4142.0	2302.0	8578.0	3015.0	12685.0	8751.0	1790.0	12040.0	18511.0	12351.0	9598.0	8505.0	1407.0	2584.0	982.0	6681.0
sub-26	2091.0	2362.0	5449.0	3627.0	1949.0	8937.0	14811.0	9916.0	2837.0	12839.0	7398.0	7023.0	5700.0	11921.0	1941.0	5302.0	3621.0	2864.0	3884.0	1868.0	10632.0	2868.0	14469.0	10445.0	1801.0	15572.0	20433.0	14023.0	11171.0	12429.0	986.0	2385.0	1375.0	8603.0
sub-27	2026.0	1433.0	4528.0	2283.0	1858.0	8643.0	14756.0	11400.0	2072.0	11804.0	6681.0	7015.0	5236.0	10874.0	1685.0	4065.0	4249.0	2403.0	4709.0	1702.0	8910.0	2915.0	13737.0	10490.0	1606.0	12826.0	22074.0	12140.0	12582.0	10455.0	1338.0	2262.0	859.0	6993.0
sub-28	1957.0	1753.0	6253.0	3121.0	1466.0	8749.0	13968.0	7891.0	2733.0	11752.0	6918.0	5784.0	4798.0	10787.0	1665.0	3226.0	4101.0	2362.0	3492.0	1886.0	10015.0	2823.0	12701.0	9497.0	1405.0	11658.0	18487.0	12333.0	10792.0	9893.0	1240.0	3015.0	1036.0	6320.0
