sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-31	3	4.130098700057715	1.0	heroism	You see a group of people standing by as two men are fighting on the street.	heroism04	139
sub-31	3	4.64747739979066	2.0	group	You see a business manager creating animosity between different teams by using downward comparison.	group01	131
sub-31	2	4.577578399796039	3.0	loyalty	You see an employee joking with competitors about how bad his company did last year.	loyalty01	75
sub-31	3	3.204628499923274	4.0	authority	You see an employee trying to undermine all of her boss' ideas in front of others.	authority07	6
sub-31	4	1.946024099830538	5.0	family	You see a father abusing his daughter using violence to control and intimidate her.	family01	126
sub-31	3	3.412222599843517	6.0	fairness	You see a student copying a classmate's answer sheet on a makeup final exam.	fairness01	45
sub-31	4	3.081375799840316	7.0	sanctity	You see a woman having intimate relations with a recently deceased loved one.	sanctity07	96
sub-31	3	5.2336936998181045	8.0	loyalty	You see an American telling foreigners that the US is an evil force in the world.	loyalty12	86
sub-31	4	2.626961499918252	9.0	property	You see a thief stealing a bicycle that is parked outside a store.	property04	144
sub-31	3	3.2850353000685573	10.0	reciprocity	You see a friend refusing to respond to another friend’s call to avoid paying back money.	reciprocity04	149
sub-31	4	2.892851899843663	11.0	group	You see a community leader embezzling funds meant for community protection and development.	group05	135
sub-31	4	5.414560999954119	12.0	sanctity	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	sanctity08	97
sub-31	1	4.495851799845696	13.0	social_norms	You see a man walking down a dark hallway while still wearing his sunglasses.	social_norms10	114
sub-31	3	3.9098616999108335	14.0	property	You see a student taking a laptop out of another student’s bag.	property05	145
sub-31	2	4.331992999883369	15.0	loyalty	You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.	loyalty15	89
sub-31	4	3.085940199904144	16.0	care_physical	You see a boy setting a series of traps to kill stray cats in his neighborhood.	care_physical08	37
sub-31	2	4.235367899760604	17.0	deference	You see a member of a religious community talking back to the priest during a sermon.	deference01	121
sub-31	4	1.89694879995659	18.0	care_physical	You see a zoo trainer jabbing a dolphin to get it to entertain the customers.	care_physical04	33
sub-31	4	2.6085699000395834	19.0	fairness	You see a politician using federal tax dollars to build an extension on his home.	fairness15	59
sub-31	1	3.1182626998052	20.0	social_norms	You see someone reading the ending of a spy novel before reading the beginning.	social_norms13	117
sub-31	2	4.045925899874419	21.0	authority	You see a teenage girl coming home late and ignoring her parents' strict curfew.	authority05	4
sub-31	3	2.490309999790042	22.0	deference	You see a student storming out of the class after yelling at the teacher.	deference03	123
sub-31	3	4.091287499992177	23.0	heroism	You see a soldier deserting their unit in the midst of a dangerous mission.	heroism01	136
sub-31	3	4.677457499783486	24.0	fairness	You see a soccer player pretending to be seriously fouled by an opposing player.	fairness04	48
