sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-28	3	2.92702759988606	1.0	reciprocity	You see a roommate not cleaning the shared living space according to the agreed schedule.	reciprocity05	150
sub-28	1	7.433131599798799	2.0	loyalty	You see a former US General saying publicly he would never buy any American product.	loyalty03	77
sub-28	1	5.230975899845362	3.0	fairness	You see a judge taking on a criminal case although he is friends with the defendant.	fairness06	50
sub-28	4	2.911717100068927	4.0	fairness	You see someone cheating in a card game while playing with a group of strangers.	fairness16	120
sub-28	4	3.416329899802804	5.0	authority	You see a staff member talking loudly and interrupting the mayor's speech to the public.	authority11	10
sub-28	4	2.9380691000260413	6.0	care_emotional	You see a boy telling a woman that she looks just like her overweight bulldog.	care_emotional05	19
sub-28	4	4.130176499951631	7.0	sanctity	You see a story about a remote tribe eating the flesh of their deceased members.	sanctity11	100
sub-28	1	3.302943100221455	8.0	social_norms	You see a woman drinking her entire cup of coffee using a stirring spoon.	social_norms03	107
sub-28	4	3.1598451999016106	9.0	care_physical	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	care_physical13	42
sub-28	4	2.903513099998236	10.0	care_physical	You see a woman spanking her child with a spatula for getting bad grades in school.	care_physical14	43
sub-28	2	5.982947000302374	11.0	property	You see an employee taking a monitor from the company and using it for personal use at his home.	property02	142
sub-28	4	2.1765143000520766	12.0	group	You see people humiliating a neighbor to force them to move out.	group04	134
sub-28	4	4.90967549989	13.0	reciprocity	You see a coworker promising to cover a shift for another coworker, but does not show up at the last minute.	reciprocity03	148
sub-28	2	4.0885739997029305	14.0	authority	You see a player publicly yelling at his soccer coach during a playoff game.	authority08	7
sub-28	1	3.5459262998774648	15.0	heroism	You see people running away from a fire instead of putting it out.	heroism03	138
sub-28	4	2.4026112002320588	16.0	family	You see a mother favoring one child over the other, constantly neglecting the other child's needs.	family05	130
sub-28	1	2.62712029973045	17.0	social_norms	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	social_norms14	118
sub-28	2	5.17560249986127	18.0	loyalty	You see a coach celebrating with the opposing team's players who just won the game.	loyalty02	76
sub-28	3	3.8916548998095095	19.0	deference	You see a soldier disobeying a lawful order from their commanding officer.	deference05	125
sub-28	4	3.466432599816472	20.0	property	You see a customer walking out the coffee shop with the store’s mug cup.	property01	141
sub-28	1	2.5689944000914693	21.0	social_norms	You see a woman continuing to wear a large sun hat inside her apartment complex.	social_norms05	109
sub-28	4	3.365087899845093	22.0	sanctity	You see a man searching through the trash to find women's discarded underwear.	sanctity12	101
sub-28	3	3.6876584999263287	23.0	family	You see a mother taking money from her child’s college fund to pay for her own expenses.	family04	129
sub-28	4	2.996011099778116	24.0	heroism	You see cars passing by when an old man is stuck on the crossroad.	heroism05	140
