onset	duration	sub_id	trial_type	vigtext	cond_id	vig_id
8.434294200000068	7.884651900000108	sub-08	social_norms	You see a woman drinking her entire cup of coffee using a stirring spoon.	social_norms03	107
20.64874480000003	7.90796360000013	sub-08	loyalty	You see a former US General saying publicly he would never buy any American product.	loyalty03	77
31.437092500000063	7.909463100000039	sub-08	reciprocity	You see a roommate not cleaning the shared living space according to the agreed schedule.	reciprocity05	150
42.22860450000008	7.907291100000066	sub-08	family	You see a mother taking money from her child’s college fund to pay for her own expenses.	family04	129
54.46592780000015	7.9078567999999905	sub-08	heroism	You see cars passing by when an old man is stuck on the crossroad.	heroism05	140
66.70231980000017	7.909618099999989	sub-08	care_physical	You see a woman spanking her child with a spatula for getting bad grades in school.	care_physical14	43
76.06026070000007	7.909160200000088	sub-08	care_physical	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	care_physical13	42
88.29846240000006	7.908985100000109	sub-08	heroism	You see people running away from a fire instead of putting it out.	heroism03	138
100.53656440000007	7.91000269999995	sub-08	authority	You see a player publicly yelling at his soccer coach during a playoff game.	authority08	7
109.89377230000014	7.908368399999972	sub-08	property	You see a customer walking out the coffee shop with the store’s mug cup.	property01	141
119.25129390000006	7.909327399999938	sub-08	loyalty	You see a coach celebrating with the opposing team's players who just won the game.	loyalty02	76
131.48985620000008	7.908885000000055	sub-08	deference	You see a soldier disobeying a lawful order from their commanding officer.	deference05	125
142.27907160000018	7.908874499999911	sub-08	sanctity	You see a man searching through the trash to find women's discarded underwear.	sanctity12	101
153.0684537000002	7.908885399999917	sub-08	care_emotional	You see a boy telling a woman that she looks just like her overweight bulldog.	care_emotional05	19
163.8580746	7.908931200000097	sub-08	group	You see people humiliating a neighbor to force them to move out.	group04	134
173.21579740000016	7.907562699999971	sub-08	social_norms	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	social_norms14	118
184.0060753	7.907729700000118	sub-08	fairness	You see a judge taking on a criminal case although he is friends with the defendant.	fairness06	50
196.2421187	7.909732400000166	sub-08	family	You see a mother favoring one child over the other, constantly neglecting the other child's needs.	family05	130
208.4806333000001	7.909333599999854	sub-08	social_norms	You see a woman continuing to wear a large sun hat inside her apartment complex.	social_norms05	109
217.83852300000007	7.908971500000007	sub-08	authority	You see a staff member talking loudly and interrupting the mayor's speech to the public.	authority11	10
230.0763062000001	7.90996640000003	sub-08	fairness	You see someone cheating in a card game while playing with a group of strangers.	fairness16	120
242.31470360000003	7.908008800000061	sub-08	reciprocity	You see a coworker promising to cover a shift for another coworker, but does not show up at the last minute.	reciprocity03	148
253.10281200000009	7.910186999999951	sub-08	property	You see an employee taking a monitor from the company and using it for personal use at his home.	property02	142
265.3421459000001	7.908883900000092	sub-08	sanctity	You see a story about a remote tribe eating the flesh of their deceased members.	sanctity11	100
