sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-15	3	3.238040999999612	1.0	reciprocity	You see a volunteer promising to organize a fundraising event but fails to follow through.	reciprocity01	146
sub-15	4	2.503723800000444	2.0	sanctity	You see a man having sex with a frozen chicken before cooking it for dinner.	sanctity01	90
sub-15	4	3.5407076999999845	3.0	care_emotional	You see a man laughing at a disabled co-worker while at an office softball game.	care_emotional15	29
sub-15	3	4.624123700000382	4.0	loyalty	You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.	loyalty10	84
sub-15	4	4.133298799999466	5.0	property	You see a teenager spray painting graffiti on the side of a neighbor’s house.	property03	143
sub-15	2	3.843777199999749	6.0	fairness	You see a boy skipping to the front of the line because his friend is an employee.	fairness12	56
sub-15	4	2.5152459999999337	7.0	heroism	You see people standing still while a woman is being attacked by a man and is calling for help.	heroism02	137
sub-15	4	3.4937221999998656	8.0	sanctity	You see a man in a bar using his phone to watch people having sex with animals.	sanctity05	94
sub-15	4	4.777821499999845	9.0	group	You see students spreading malicious rumors about a transfer student, making them feel unwelcome to the school.	group03	133
sub-15	4	3.9452679000005446	10.0	family	You see a daughter spreading false accusations about her mother's mental health to gain control of her inheritance.	family02	127
sub-15	3	4.889567799999895	11.0	loyalty	You see a teacher publicly saying she hopes another school wins the math contest.	loyalty07	81
sub-15	1	3.187948900000265	12.0	social_norms	You see someone at the school gym lifting free weights in nice business clothes.	social_norms06	110
sub-15	2	4.383883799999239	13.0	authority	You see a man turn his back and walk away while his boss questions his work.	authority13	12
sub-15	3	3.6895157999997537	14.0	fairness	You see a woman lying about the number of vacation days she has taken at work.	fairness13	57
sub-15	2	3.369493600000169	15.0	authority	You see a girl repeatedly interrupting her teacher as he explains a new concept.	authority03	2
sub-15	1	2.437870799999473	16.0	social_norms	You see a man eating a bowl of cereal in the morning with water instead of milk.	social_norms07	111
sub-15	2	5.334635899999739	17.0	group	You see a neighbor refusing to help another neighbor, claiming that it is not their responsibility.	group02	132
sub-15	3	3.1498980999995183	18.0	authority	You see a group of women having a long and loud conversation during a church sermon.	authority12	11
sub-15	3	4.244970800000374	19.0	deference	You see a citizen refusing to follow public health guidelines from medical officials during a pandemic.	deference02	122
sub-15	4	4.377296700000443	20.0	care_emotional	You see a girl laughing when she realizes her friend's dad is the janitor.	care_emotional06	20
sub-15	4	3.048234599999887	21.0	sanctity	You see two first cousins getting married to each other in an elaborate wedding.	sanctity13	102
sub-15	3	3.7284616999995706	22.0	deference	You see an employee ignoring an urgent email from their supervisor.	deference04	124
sub-15	4	4.352686100000028	23.0	family	You see a brother betraying his sister’s trust by spreading rumors about her to friends and family.	family03	128
sub-15	4	3.0996894999998403	24.0	reciprocity	You see a client refusing to pay to the contractor after the work is completed.	reciprocity02	147
