trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0847622	0.01486
0.006	-0.0697	0.0039	0.00038397243543875244	-0.000153588974175501	-5.585053606381854e-05	0.79391676	55.32317734	0.883967	0.1092705972839036	0.0862671	0.01554
0.0007	-0.0964	0.014	0.0024294983187761066	-0.000317649923862968	-5.235987755982989e-05	0.89562261	62.41043472	0.95645627	0.15275387457644046	0.092101	0.01945
0.0	-0.043	0.0285	0.0032166418114255493	-0.00037350045992678646	0.00022340214425527416	0.81860429	57.04350281	0.90189879	0.12453780252641827	0.0954648	0.02121
-0.0063	0.0717	0.0296	0.0029548424236264	-0.0003787364476827695	0.0003944444109507184	0.83011889	57.84588242	0.90969372	0.1440038821125288	0.0957367	0.01972
-0.0057	0.0449	0.007	0.002780309498426967	-0.00039095375244672985	0.0003612831551628262	0.7911185	55.12818527	0.88203736	0.060995574287564275	0.0926647	0.0183
-0.0129	-0.0535	0.0084	0.003223623128433527	-0.00021118483949131387	0.0003106686068549907	0.80909747	56.38102722	0.89469379	0.14068485456349056	0.0938873	0.01946
-0.0096	-0.1033	-0.0067	0.003649483465920143	-3.316125578789226e-05	6.981317007977319e-05	0.78733146	54.86428833	0.88008471	0.11043696789826277	0.0945439	0.02031
-0.0073	-0.0324	0.0091	0.0033615041393410786	-2.268928027592628e-05	9.599310885968811e-05	0.79432589	55.35168839	0.88168897	0.10523156204354726	0.0949485	0.01968
-0.0106	0.0388	-0.0108	0.002813470754214859	-0.0002007128639793479	0.00021118483949131387	0.79848427	55.64146042	0.8918417	0.13646243497306335	0.0915717	0.01726
-0.0058	-0.0699	-0.0505	0.003068288825006031	-0.000312413936106985	0.00029321531433504735	0.81461763	56.76569748	0.89534064	0.17562748088812713	0.0891506	0.01656
-0.006	-0.0617	-0.0502	0.002858849314766712	-0.00038397243543875244	0.00011170107212763708	0.76231879	53.12131119	0.85868586	0.03182561258892485	0.0886378	0.01618
-0.0066	-0.0495	-0.0574	0.0030281462522101614	-0.0003316125578789226	7.155849933176751e-05	0.77527642	54.02425003	0.87029035	0.03308996938995744	0.0876991	0.01599
0.049	-0.0275	-0.0301	0.00011693705988362007	0.0002565634000431664	-4.363323129985824e-05	1.03866327	72.37805939	1.05347358	0.2856288440440128	0.0852588	0.01289
0.0946	-0.0288	0.0051	-0.0008970992355250854	0.0008028514559173916	0.00026878070480712676	0.91965055	64.08479309	0.96974157	0.17573691436949576	0.0886573	0.01349
0.0366	0.1502	0.0142	-0.0007801621756414653	0.000640535835481919	0.00012042771838760874	0.92022908	64.12510681	0.97144939	0.26748028333693047	0.0845215	0.01209
0.0195	0.0483	-0.0152	-0.00028274333882308137	0.0004799655442984406	-1.0471975511965975e-05	0.82087284	57.20158386	0.90073308	0.18784444109507184	0.0814323	0.01171
