sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-16	3	4.44854240026325	1.0	family	You see a daughter spreading false accusations about her mother's mental health to gain control of her inheritance.	family02	127
sub-16	2	3.6591892996802926	2.0	authority	You see a group of women having a long and loud conversation during a church sermon.	authority12	11
sub-16	4	3.214997500181198	3.0	care_emotional	You see a girl laughing when she realizes her friend's dad is the janitor.	care_emotional06	20
sub-16	1	3.8453871002420783	4.0	loyalty	You see a teacher publicly saying she hopes another school wins the math contest.	loyalty07	81
sub-16	4	3.03443630039692	5.0	sanctity	You see a man having sex with a frozen chicken before cooking it for dinner.	sanctity01	90
sub-16	2	3.952983099967241	6.0	reciprocity	You see a volunteer promising to organize a fundraising event but fails to follow through.	reciprocity01	146
sub-16	1	2.6756047001108527	7.0	social_norms	You see a man eating a bowl of cereal in the morning with water instead of milk.	social_norms07	111
sub-16	4	3.261114500463009	8.0	deference	You see a citizen refusing to follow public health guidelines from medical officials during a pandemic.	deference02	122
sub-16	3	3.544929100200534	9.0	property	You see a teenager spray painting graffiti on the side of a neighbor’s house.	property03	143
sub-16	4	2.682065200060606	10.0	group	You see students spreading malicious rumors about a transfer student, making them feel unwelcome to the school.	group03	133
sub-16	3	3.1776771005243063	11.0	fairness	You see a woman lying about the number of vacation days she has taken at work.	fairness13	57
sub-16	2	3.7525439001619816	12.0	group	You see a neighbor refusing to help another neighbor, claiming that it is not their responsibility.	group02	132
sub-16	1	3.3324596993625164	13.0	authority	You see a man turn his back and walk away while his boss questions his work.	authority13	12
sub-16	1	5.017451800405979	14.0	loyalty	You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.	loyalty10	84
sub-16	1	5.600924699567258	15.0	heroism	You see people standing still while a woman is being attacked by a man and is calling for help.	heroism02	137
sub-16	4	3.795406899414957	16.0	sanctity	You see a man in a bar using his phone to watch people having sex with animals.	sanctity05	94
sub-16	4	4.669509300030768	17.0	sanctity	You see two first cousins getting married to each other in an elaborate wedding.	sanctity13	102
sub-16	2	3.503210600465536	18.0	deference	You see an employee ignoring an urgent email from their supervisor.	deference04	124
sub-16	3	4.5173913994804025	19.0	authority	You see a girl repeatedly interrupting her teacher as he explains a new concept.	authority03	2
sub-16	4	3.810988500714302	20.0	reciprocity	You see a client refusing to pay to the contractor after the work is completed.	reciprocity02	147
sub-16	4	3.413933300413192	21.0	family	You see a brother betraying his sister’s trust by spreading rumors about her to friends and family.	family03	128
sub-16	1	3.94330669939518	22.0	social_norms	You see someone at the school gym lifting free weights in nice business clothes.	social_norms06	110
sub-16	4	2.886324600316584	23.0	care_emotional	You see a man laughing at a disabled co-worker while at an office softball game.	care_emotional15	29
sub-16	3	4.588132000528276	24.0	fairness	You see a boy skipping to the front of the line because his friend is an employee.	fairness12	56
