sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-18	4	4.437939699972048	1.0	property	You see a student taking a laptop out of another student’s bag.	property05	145
sub-18	3	4.67663270002231	2.0	heroism	You see a group of people standing by as two men are fighting on the street.	heroism04	139
sub-18	3	4.027297399996314	3.0	reciprocity	You see a friend refusing to respond to another friend’s call to avoid paying back money.	reciprocity04	149
sub-18	3	4.455514699977357	4.0	deference	You see a student storming out of the class after yelling at the teacher.	deference03	123
sub-18	1	5.047858800040558	5.0	social_norms	You see a man walking down a dark hallway while still wearing his sunglasses.	social_norms10	114
sub-18	4	3.090874699992128	6.0	group	You see a community leader embezzling funds meant for community protection and development.	group05	135
sub-18	2	6.452586499974132	7.0	loyalty	You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.	loyalty15	89
sub-18	2	5.12146809999831	8.0	authority	You see an employee trying to undermine all of her boss' ideas in front of others.	authority07	6
sub-18	2	4.378592099994421	9.0	loyalty	You see an employee joking with competitors about how bad his company did last year.	loyalty01	75
sub-18	4	3.074845600000117	10.0	fairness	You see a student copying a classmate's answer sheet on a makeup final exam.	fairness01	45
sub-18	2	6.572905800014269	11.0	loyalty	You see an American telling foreigners that the US is an evil force in the world.	loyalty12	86
sub-18	4	2.8147242999984883	12.0	care_physical	You see a boy setting a series of traps to kill stray cats in his neighborhood.	care_physical08	37
sub-18	1	3.250953599985224	13.0	fairness	You see a soccer player pretending to be seriously fouled by an opposing player.	fairness04	48
sub-18	2	7.328158299962524	14.0	group	You see a business manager creating animosity between different teams by using downward comparison.	group01	131
sub-18	3	3.977981300035026	15.0	deference	You see a member of a religious community talking back to the priest during a sermon.	deference01	121
sub-18	4	4.576253800012637	16.0	sanctity	You see a woman having intimate relations with a recently deceased loved one.	sanctity07	96
sub-18	4	2.992643199977465	17.0	fairness	You see a politician using federal tax dollars to build an extension on his home.	fairness15	59
sub-18	2	4.664189699979033	18.0	sanctity	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	sanctity08	97
sub-18	4	6.446402899979148	19.0	care_physical	You see a zoo trainer jabbing a dolphin to get it to entertain the customers.	care_physical04	33
sub-18	4	2.665900700027123	20.0	property	You see a thief stealing a bicycle that is parked outside a store.	property04	144
sub-18	3	3.712350799993146	21.0	heroism	You see a soldier deserting their unit in the midst of a dangerous mission.	heroism01	136
sub-18	1	2.0874093999736942	22.0	social_norms	You see someone reading the ending of a spy novel before reading the beginning.	social_norms13	117
sub-18	4	1.4749583999509923	23.0	family	You see a father abusing his daughter using violence to control and intimidate her.	family01	126
sub-18	1	7.126924800046254	24.0	authority	You see a teenage girl coming home late and ignoring her parents' strict curfew.	authority05	4
