sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-14	4	4.66805739980191	1.0	fairness	You see a politician using federal tax dollars to build an extension on his home.	fairness15	59
sub-14	3	4.043482000008225	2.0	property	You see a thief stealing a bicycle that is parked outside a store.	property04	144
sub-14	4	5.105566899757832	3.0	authority	You see an employee trying to undermine all of her boss' ideas in front of others.	authority07	6
sub-14	4	3.236067899968475	4.0	care_physical	You see a zoo trainer jabbing a dolphin to get it to entertain the customers.	care_physical04	33
sub-14	2	4.658806900028139	5.0	deference	You see a member of a religious community talking back to the priest during a sermon.	deference01	121
sub-14	4	5.677188300061971	6.0	group	You see a business manager creating animosity between different teams by using downward comparison.	group01	131
sub-14	2	5.26079050032422	7.0	loyalty	You see an American telling foreigners that the US is an evil force in the world.	loyalty12	86
sub-14	2	6.094963000155985	8.0	loyalty	You see an employee joking with competitors about how bad his company did last year.	loyalty01	75
sub-14	3	5.104924499988556	9.0	fairness	You see a student copying a classmate's answer sheet on a makeup final exam.	fairness01	45
sub-14	4	3.7931341002695262	10.0	family	You see a father abusing his daughter using violence to control and intimidate her.	family01	126
sub-14	4	3.7158258999697855	11.0	care_physical	You see a boy setting a series of traps to kill stray cats in his neighborhood.	care_physical08	37
sub-14	1	4.480534099973738	12.0	fairness	You see a soccer player pretending to be seriously fouled by an opposing player.	fairness04	48
sub-14	1	4.665378800127655	13.0	authority	You see a teenage girl coming home late and ignoring her parents' strict curfew.	authority05	4
sub-14	2	4.875004300381988	14.0	deference	You see a student storming out of the class after yelling at the teacher.	deference03	123
sub-14	1	4.409249800257385	15.0	social_norms	You see someone reading the ending of a spy novel before reading the beginning.	social_norms13	117
sub-14	4	7.561136899981648	16.0	reciprocity	You see a friend refusing to respond to another friend’s call to avoid paying back money.	reciprocity04	149
sub-14	4	4.16300980001688	17.0	property	You see a student taking a laptop out of another student’s bag.	property05	145
sub-14	1	5.00312800006941	18.0	sanctity	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	sanctity08	97
sub-14	1	4.817957700230181	19.0	social_norms	You see a man walking down a dark hallway while still wearing his sunglasses.	social_norms10	114
sub-14	4	3.6791269998066127	20.0	group	You see a community leader embezzling funds meant for community protection and development.	group05	135
sub-14	4	3.85388860013336	21.0	heroism	You see a soldier deserting their unit in the midst of a dangerous mission.	heroism01	136
sub-14	4	5.474033399950713	22.0	sanctity	You see a woman having intimate relations with a recently deceased loved one.	sanctity07	96
sub-14	4	6.259223199915141	23.0	loyalty	You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.	loyalty15	89
sub-14	2	5.453070200048387	24.0	heroism	You see a group of people standing by as two men are fighting on the street.	heroism04	139
