onset	duration	sub_id	trial_type	vigtext	cond_id	vig_id
8.451084000063247	7.879048699970099	sub-13	sanctity	You see a story about a remote tribe eating the flesh of their deceased members.	sanctity11	100
19.21074300003329	7.90874940006006	sub-13	social_norms	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	social_norms14	118
31.44891510007324	7.908657899940181	sub-13	family	You see a mother taking money from her child’s college fund to pay for her own expenses.	family04	129
43.68554690003339	7.910035600069932	sub-13	reciprocity	You see a coworker promising to cover a shift for another coworker, but does not show up at the last minute.	reciprocity03	148
55.92622150003331	7.907177399960119	sub-13	authority	You see a staff member talking loudly and interrupting the mayor's speech to the public.	authority11	10
65.28225510008338	7.908705499959979	sub-13	property	You see a customer walking out the coffee shop with the store’s mug cup.	property01	141
77.52017660008323	7.909029299970143	sub-13	social_norms	You see a woman drinking her entire cup of coffee using a stirring spoon.	social_norms03	107
88.31044370006339	7.907901999999922	sub-13	family	You see a mother favoring one child over the other, constantly neglecting the other child's needs.	family05	130
99.09905810002329	7.910183100030053	sub-13	heroism	You see cars passing by when an old man is stuck on the crossroad.	heroism05	140
109.88931660005323	7.908147000000099	sub-13	care_physical	You see a woman spanking her child with a spatula for getting bad grades in school.	care_physical14	43
120.68065860006324	7.905421999980035	sub-13	loyalty	You see a former US General saying publicly he would never buy any American product.	loyalty03	77
131.46671980002338	7.909918800000014	sub-13	loyalty	You see a coach celebrating with the opposing team's players who just won the game.	loyalty02	76
143.70533360005334	7.909082300029922	sub-13	fairness	You see someone cheating in a card game while playing with a group of strangers.	fairness16	120
153.0629528000734	7.909089599970002	sub-13	deference	You see a soldier disobeying a lawful order from their commanding officer.	deference05	125
162.42027060000328	7.909459500000139	sub-13	fairness	You see a judge taking on a criminal case although he is friends with the defendant.	fairness06	50
174.65848470002334	7.908267499989961	sub-13	authority	You see a player publicly yelling at his soccer coach during a playoff game.	authority08	7
186.89664680010333	7.908094799960054	sub-13	care_physical	You see a teacher hitting a student's hand with a ruler for falling asleep in class.	care_physical13	42
197.6850906000434	7.909978099989985	sub-13	property	You see an employee taking a monitor from the company and using it for personal use at his home.	property02	142
207.0435034000534	7.909134399959839	sub-13	care_emotional	You see a boy telling a woman that she looks just like her overweight bulldog.	care_emotional05	19
216.40102079999315	7.908978600059981	sub-13	reciprocity	You see a roommate not cleaning the shared living space according to the agreed schedule.	reciprocity05	150
228.6405922001032	7.908534899930146	sub-13	social_norms	You see a woman continuing to wear a large sun hat inside her apartment complex.	social_norms05	109
240.87811190006323	7.907040399959897	sub-13	heroism	You see people running away from a fire instead of putting it out.	heroism03	138
250.2347384000932	7.9088881999400655	sub-13	sanctity	You see a man searching through the trash to find women's discarded underwear.	sanctity12	101
262.47289140010344	7.908793499929743	sub-13	group	You see people humiliating a neighbor to force them to move out.	group04	134
