sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-10	3	4.464845899987267	1.0	loyalty	You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.	loyalty10	84
sub-10	2	3.844249899993883	2.0	group	You see a neighbor refusing to help another neighbor, claiming that it is not their responsibility.	group02	132
sub-10	3	5.158078400010709	3.0	care_emotional	You see a girl laughing when she realizes her friend's dad is the janitor.	care_emotional06	20
sub-10	4	4.713475800002925	4.0	reciprocity	You see a client refusing to pay to the contractor after the work is completed.	reciprocity02	147
sub-10	3	6.03153010000824	5.0	fairness	You see a woman lying about the number of vacation days she has taken at work.	fairness13	57
sub-10	4	4.716076500015333	6.0	sanctity	You see a man having sex with a frozen chicken before cooking it for dinner.	sanctity01	90
sub-10	2	7.860110499983421	7.0	fairness	You see a boy skipping to the front of the line because his friend is an employee.	fairness12	56
sub-10	3	6.5942418000195175	8.0	property	You see a teenager spray painting graffiti on the side of a neighbor’s house.	property03	143
sub-10	2	5.874809900007676	9.0	social_norms	You see a man eating a bowl of cereal in the morning with water instead of milk.	social_norms07	111
sub-10	4	4.038226700009545	10.0	care_emotional	You see a man laughing at a disabled co-worker while at an office softball game.	care_emotional15	29
sub-10	2	5.069334500003606	11.0	deference	You see an employee ignoring an urgent email from their supervisor.	deference04	124
sub-10	3	5.094967600016389	12.0	loyalty	You see a teacher publicly saying she hopes another school wins the math contest.	loyalty07	81
sub-10	1	6.337104700010968	13.0	social_norms	You see someone at the school gym lifting free weights in nice business clothes.	social_norms06	110
sub-10	2	5.892902599996887	14.0	authority	You see a group of women having a long and loud conversation during a church sermon.	authority12	11
sub-10	4	4.72071870000218	15.0	group	You see students spreading malicious rumors about a transfer student, making them feel unwelcome to the school.	group03	133
sub-10	4	4.342950899997959	16.0	sanctity	You see a man in a bar using his phone to watch people having sex with animals.	sanctity05	94
sub-10	3	6.535475000011502	17.0	sanctity	You see two first cousins getting married to each other in an elaborate wedding.	sanctity13	102
sub-10	2	7.246098100004019	18.0	deference	You see a citizen refusing to follow public health guidelines from medical officials during a pandemic.	deference02	122
sub-10	4	4.102146999997785	19.0	family	You see a brother betraying his sister’s trust by spreading rumors about her to friends and family.	family03	128
sub-10	3	6.661426700011361	20.0	reciprocity	You see a volunteer promising to organize a fundraising event but fails to follow through.	reciprocity01	146
sub-10	2	6.6492790000047535	21.0	authority	You see a girl repeatedly interrupting her teacher as he explains a new concept.	authority03	2
sub-10	4	5.520764000015333	22.0	heroism	You see people standing still while a woman is being attacked by a man and is calling for help.	heroism02	137
sub-10	4	5.421872299979441	23.0	family	You see a daughter spreading false accusations about her mother's mental health to gain control of her inheritance.	family02	127
sub-10	2	5.249549000000116	24.0	authority	You see a man turn his back and walk away while his boss questions his work.	authority13	12
