sub_id	moral_decision	RT	press_order	trial_type	vigtext	cond_id	vig_id
sub-09	4	4.105789100000038	1.0	fairness	You see a politician using federal tax dollars to build an extension on his home.	fairness15	59
sub-09	3	3.4142695999998978	2.0	heroism	You see a soldier deserting their unit in the midst of a dangerous mission.	heroism01	136
sub-09	1	3.280651600000056	3.0	loyalty	You see a US swimmer cheering as a Chinese foe beats his teammate to win the gold.	loyalty15	89
sub-09	4	3.7051035999993474	4.0	group	You see a community leader embezzling funds meant for community protection and development.	group05	135
sub-09	2	6.278242800000953	5.0	deference	You see a member of a religious community talking back to the priest during a sermon.	deference01	121
sub-09	4	6.567580099999759	6.0	group	You see a business manager creating animosity between different teams by using downward comparison.	group01	131
sub-09	2	4.7136037000000215	7.0	social_norms	You see someone reading the ending of a spy novel before reading the beginning.	social_norms13	117
sub-09	4	6.911202100000082	8.0	fairness	You see a soccer player pretending to be seriously fouled by an opposing player.	fairness04	48
sub-09	4	4.208180699999502	9.0	deference	You see a student storming out of the class after yelling at the teacher.	deference03	123
sub-09	3	5.613267299999279	10.0	heroism	You see a group of people standing by as two men are fighting on the street.	heroism04	139
sub-09	3	5.590546800000084	11.0	sanctity	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	sanctity08	97
sub-09	4	3.0966305999991164	12.0	property	You see a student taking a laptop out of another student’s bag.	property05	145
sub-09	4	5.6561872999991465	13.0	loyalty	You see an American telling foreigners that the US is an evil force in the world.	loyalty12	86
sub-09	4	3.0654711999995925	14.0	care_physical	You see a zoo trainer jabbing a dolphin to get it to entertain the customers.	care_physical04	33
sub-09	4	3.724365600000965	15.0	sanctity	You see a woman having intimate relations with a recently deceased loved one.	sanctity07	96
sub-09	4	3.055074599998989	16.0	family	You see a father abusing his daughter using violence to control and intimidate her.	family01	126
sub-09	1	4.762891800000944	17.0	social_norms	You see a man walking down a dark hallway while still wearing his sunglasses.	social_norms10	114
sub-09	2	5.900885700000799	18.0	authority	You see a teenage girl coming home late and ignoring her parents' strict curfew.	authority05	4
sub-09	4	3.5442603999999847	19.0	care_physical	You see a boy setting a series of traps to kill stray cats in his neighborhood.	care_physical08	37
sub-09	3	5.567250199999762	20.0	loyalty	You see an employee joking with competitors about how bad his company did last year.	loyalty01	75
sub-09	3	5.045757299998513	21.0	authority	You see an employee trying to undermine all of her boss' ideas in front of others.	authority07	6
sub-09	4	5.860664499998165	22.0	reciprocity	You see a friend refusing to respond to another friend’s call to avoid paying back money.	reciprocity04	149
sub-09	4	2.5548920999990514	23.0	property	You see a thief stealing a bicycle that is parked outside a store.	property04	144
sub-09	3	4.575019100000645	24.0	fairness	You see a student copying a classmate's answer sheet on a makeup final exam.	fairness01	45
